VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-15 19:05:39,2015-01-15 19:23:42,1,1.59,-73.993896484375,40.7501106262207,1,N,-73.97478485107422,40.75061798095703,1,12.0,1.0,0.5,3.25,0.0,0.3,17.05
1,2015-01-10 20:33:38,2015-01-10 20:53:28,1,3.3,-74.00164794921875,40.7242431640625,1,N,-73.99441528320312,40.75910949707031,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8
1,2015-01-10 20:33:38,2015-01-10 20:43:41,1,1.8,-73.96334075927734,40.80278778076172,1,N,-73.95182037353516,40.824413299560554,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
1,2015-01-10 20:33:39,2015-01-10 20:35:31,1,0.5,-74.00908660888672,40.71381759643555,1,N,-74.00432586669923,40.71998596191406,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
1,2015-01-10 20:33:39,2015-01-10 20:52:58,1,3.0,-73.97117614746092,40.762428283691406,1,N,-74.00418090820312,40.742652893066406,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
1,2015-01-10 20:33:39,2015-01-10 20:53:52,1,9.0,-73.87437438964845,40.7740478515625,1,N,-73.98697662353516,40.75819396972656,1,27.0,0.5,0.5,6.7,5.33,0.3,40.33
1,2015-01-10 20:33:39,2015-01-10 20:58:31,1,2.2,-73.9832763671875,40.72600936889648,1,N,-73.99246978759764,40.7496337890625,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
1,2015-01-10 20:33:39,2015-01-10 20:42:20,3,0.8,-74.00266265869139,40.7341423034668,1,N,-73.99501037597656,40.72632598876953,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,2015-01-10 20:33:39,2015-01-10 21:11:35,3,18.2,-73.78304290771484,40.644355773925774,2,N,-73.98759460449217,40.75935745239258,2,52.0,0.0,0.5,0.0,5.33,0.3,58.13
1,2015-01-10 20:33:40,2015-01-10 20:40:44,2,0.9,-73.98558807373048,40.767948150634766,1,N,-73.98591613769531,40.75936508178711,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
1,2015-01-10 20:33:40,2015-01-10 20:41:39,1,0.9,-73.98861694335938,40.72310256958008,1,N,-74.00439453125,40.72858428955078,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,2015-01-10 20:33:41,2015-01-10 20:43:26,1,1.1,-73.99378204345702,40.751419067382805,1,N,-73.9674072265625,40.75721740722656,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8
1,2015-01-10 20:33:41,2015-01-10 20:35:23,1,0.3,-74.00836181640625,40.704376220703125,1,N,-74.00977325439453,40.70772552490234,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
1,2015-01-10 20:33:41,2015-01-10 21:03:04,1,3.1,-73.97394561767578,40.760448455810554,1,N,-73.99734497070312,40.735210418701165,1,19.0,0.5,0.5,3.0,0.0,0.3,23.3
1,2015-01-10 20:33:41,2015-01-10 20:39:23,1,1.1,-74.00672149658203,40.7317771911621,1,N,-73.99521636962889,40.73989486694336,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2015-01-15 19:05:39,2015-01-15 19:32:00,1,2.38,-73.97642517089844,40.73981094360352,1,N,-73.98397827148438,40.75788879394531,1,16.5,1.0,0.5,4.38,0.0,0.3,22.68
2,2015-01-15 19:05:40,2015-01-15 19:21:00,5,2.83,-73.96870422363281,40.75424575805664,1,N,-73.9551239013672,40.78685760498047,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3
2,2015-01-15 19:05:40,2015-01-15 19:28:18,5,8.33,-73.8630599975586,40.769580841064446,1,N,-73.95271301269531,40.78578186035156,1,26.0,1.0,0.5,8.08,5.33,0.3,41.21
2,2015-01-15 19:05:41,2015-01-15 19:20:36,1,2.37,-73.94554138183594,40.779422760009766,1,N,-73.98085021972656,40.78608322143555,1,11.5,1.0,0.5,0.0,0.0,0.3,13.3
2,2015-01-15 19:05:41,2015-01-15 19:20:22,2,7.13,-73.87445831298828,40.77400970458984,1,N,-73.95237731933594,40.71858978271485,1,21.5,1.0,0.5,4.5,0.0,0.3,27.8
2,2015-01-15 19:05:41,2015-01-15 19:31:00,1,3.6,-73.97660064697266,40.751895904541016,1,N,-73.9989242553711,40.71459579467773,2,17.5,1.0,0.5,0.0,0.0,0.3,19.3
2,2015-01-15 19:05:41,2015-01-15 19:10:22,1,0.89,-73.99495697021484,40.745079040527344,1,N,-73.99993896484375,40.734649658203125,1,5.5,1.0,0.5,1.62,0.0,0.3,8.92
2,2015-01-15 19:05:41,2015-01-15 19:10:55,1,0.96,-74.00093841552734,40.74706268310546,1,N,-74.0035629272461,40.73551177978516,1,5.5,1.0,0.5,1.3,0.0,0.3,8.6
2,2015-01-15 19:05:41,2015-01-15 19:12:36,2,1.25,-74.00277709960938,40.717891693115234,1,N,-74.00791931152342,40.704219818115234,1,6.5,1.0,0.5,1.5,0.0,0.3,9.8
2,2015-01-15 19:05:41,2015-01-15 19:22:11,5,2.11,-73.9974594116211,40.73636245727539,1,N,-73.9781723022461,40.76185607910156,1,11.5,1.0,0.5,2.5,0.0,0.3,15.8
2,2015-01-15 19:05:41,2015-01-15 19:14:05,5,1.15,-73.95227813720702,40.82399368286133,1,N,-73.95333862304686,40.81108856201172,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
2,2015-01-15 19:05:42,2015-01-15 19:16:18,1,1.53,-73.99112701416014,40.75008010864258,1,N,-73.98860931396483,40.73488998413086,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8
2,2015-01-15 19:05:42,2015-01-15 19:49:07,1,18.06,-73.78657531738281,40.64412689208984,2,N,-73.98560333251953,40.7435302734375,1,52.0,0.0,0.5,6.0,5.33,0.3,64.13
2,2015-01-15 19:05:42,2015-01-15 19:18:33,1,1.76,-73.99366760253906,40.74144744873047,1,N,-73.99451446533203,40.757720947265625,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
2,2015-01-15 19:05:42,2015-01-15 19:21:40,6,5.19,-73.98529052734375,40.744083404541016,1,N,-74.00907897949219,40.704689025878906,1,17.5,1.0,0.5,3.7,0.0,0.3,23.0
2,2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,-73.96977233886719,40.78561019897461,1,N,-73.95070648193358,40.774681091308594,1,7.5,1.0,0.5,1.7,0.0,0.3,11.0
2,2015-01-15 19:05:43,2015-01-15 19:05:44,2,0.01,0.0,0.0,5,N,0.0,0.0,1,60.0,0.0,0.0,0.0,0.0,0.3,60.3
2,2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,-73.98509216308595,40.75698852539063,1,N,-73.98487854003906,40.7801513671875,1,10.0,1.0,0.5,2.2,0.0,0.3,14.0
2,2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,-73.9661636352539,40.762161254882805,1,N,-73.9500503540039,40.77625274658203,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
2,2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,-73.97842407226561,40.74620819091797,1,N,-73.98021697998048,40.72854232788086,1,8.0,1.0,0.5,1.8,0.0,0.3,11.6
